,type,U-nodes,length
1035,network,1,3.413
1036,network,0,1.45
1037,network,0,0.884
1038,network,0,0.242
1039,network,1,0.32
1040,network,0,0.652
1041,network,0,0.314
1042,network,0,2.083
1043,network,0,0.504
1044,network,0,0.97
1045,network,0,0.906
1046,network,0,1.885
1047,network,0,0.947
1048,network,0,0.389
1049,network,0,0.468
1050,network,0,0.703
1051,network,0,3.428
1052,network,0,0.333
1053,network,1,6.141
1054,network,0,1.509
1055,network,0,0.185
1056,network,1,0.571
1057,network,1,0.695
1058,network,1,2.268
1059,network,1,1.526
1060,network,1,4.734
1061,network,0,0.763
1062,network,1,0.627
1063,network,0,0.835
1064,network,1,3.766
1065,network,0,1.067
1066,network,0,0.641
1067,network,0,1.403
1068,network,0,0.319
1069,network,0,1.816
1070,network,0,0.519
1071,network,0,0.602
1072,network,0,0.577
1073,network,0,0.334
1074,network,1,6.216
1075,network,0,2.368
1076,network,0,0.567
1077,network,0,0.283
1078,network,1,7.174
1079,network,1,12.015
1080,network,0,2.283
1081,network,0,1.129
1082,network,0,0.91
1083,network,1,0.286
1084,network,1,3.48
1085,network,1,2.84
1086,network,0,1.209
1087,network,0,1.736
1088,network,1,0.505
1089,network,0,0.319
1090,network,0,0.482
1091,network,1,1.657
1092,network,1,0.682
1093,network,0,0.293
1094,network,0,0.271
1095,network,0,0.582
1096,network,0,0.407
1097,network,0,0.778
1098,network,1,0.845
1099,network,0,0.285
1100,network,0,0.236
1101,network,0,0.151
1102,network,0,0.146
1103,network,1,1.505
1104,network,0,0.711
1105,network,0,1.214
1106,network,0,0.287
1107,network,0,0.528
1108,network,0,0.648
1109,network,0,0.404
1110,network,0,0.541
1111,network,1,0.91
1112,network,0,0.348
1113,network,1,0.473
1114,network,0,11.795
1115,network,0,0.461
1116,network,0,0.318
1117,network,0,1.295
1118,network,0,0.278
1119,network,0,0.316
1120,network,0,0.282
1121,network,0,1.341
1122,network,0,0.365
1123,network,1,0.833
1124,network,0,0.285
1125,network,0,0.325
1126,network,1,0.764
1127,network,0,0.271
1128,network,1,0.579
1129,network,0,5.083
1130,network,1,3.823
1131,network,1,5.303
1132,network,1,3.303
1133,network,1,1.695
1134,network,1,2.625
1135,network,0,0.905
1136,network,1,4.628
1137,network,0,0.658
1138,network,0,0.58
1139,network,0,2.347
1140,network,1,2.337
1141,network,0,1.147
1142,network,0,0.538
1143,network,0,0.262
1144,network,0,1.095
1145,network,0,0.493
1146,network,0,2.622
1147,network,0,0.512
1148,network,0,0.299
1149,network,1,1.692
1150,network,0,1.115
1151,network,1,0.479
1152,network,0,0.573
1153,network,0,0.854
1154,network,0,1.374
1155,network,0,0.799
1156,network,0,0.243
1157,network,0,0.325
1158,network,0,0.277
1159,network,0,0.52
1160,network,0,0.436
1161,network,0,0.416
1162,network,1,0.784
1163,network,0,0.835
1164,network,0,1.356
1165,network,0,0.139
1166,network,1,0.183
1167,network,1,0.931
1168,network,0,0.347
1169,network,0,0.931
1170,network,0,0.517
1171,network,0,1.008
1172,network,0,0.588
1173,network,1,1.095
1174,network,1,0.513
1175,network,1,0.195
1176,network,1,0.161
1177,network,0,0.615
1178,network,0,0.384
1179,network,0,0.833
1180,network,0,0.939
1181,network,0,0.331
1182,network,1,0.534
1183,network,0,2.033
1184,network,0,1.079
1185,network,1,1.222
1186,network,0,1.428
1187,network,1,0.451
1188,network,0,1.408
1189,network,0,0.358
1190,network,0,0.152
1191,network,0,0.399
1192,network,0,0.379
1193,network,0,0.269
1194,network,0,9.151
1195,network,1,3.466
1196,network,0,1.307
1197,network,0,1.677
1198,network,1,0.952
1199,network,0,0.242
1200,network,1,0.407
1201,network,1,1.037
1202,network,0,4.747
1203,network,0,11.275
1204,network,1,3.364
1205,network,1,2.98
1206,network,0,0.609
1207,network,1,0.426
1208,network,0,0.665
1209,network,1,0.473
1210,network,1,0.221
1211,network,1,0.395
1212,network,0,0.2
1213,network,1,1.106
1214,network,1,0.846
1215,network,0,0.554
1216,network,1,0.503
1217,network,1,1.047
1218,network,0,0.942
1219,network,1,1.157
1220,network,1,1.184
1221,network,1,0.455
1222,network,0,1.212
1223,network,0,0.8
1224,network,1,1.355
1225,network,1,1.056
1226,network,0,0.491
1227,network,0,0.612
1228,network,0,0.418
1229,network,0,1.104
1230,network,0,9.46
1231,network,1,0.406
1232,network,0,0.308
1233,network,1,0.445
1234,network,1,0.994
1235,network,1,1.361
1236,network,0,1.416
1237,network,1,0.678
1238,network,0,0.352
1239,network,0,1.448
1240,network,1,0.698
1241,network,1,0.419
1242,network,1,0.976
1243,network,0,1.286
1244,network,1,1.744
1245,network,1,1.231
1246,network,1,0.404
1247,network,0,3.001
1248,network,0,3.868
1249,network,0,1.307
1250,network,0,0.292
1251,network,0,1.147
1252,network,1,1.084
1253,network,0,0.286
1254,network,0,0.756
1255,network,0,1.341
1256,network,0,5.379
1257,network,0,4.33
1258,network,1,1.626
1259,network,0,4.195
1260,network,0,2.92
1261,network,0,1.396
1262,network,0,1.284
1263,network,0,2.351
1264,network,0,1.553
1265,network,0,0.426
1266,network,0,1.087
1267,network,0,0.872
1268,network,0,7.46
1269,network,0,1.626
1270,network,1,4.218
1271,network,0,2.921
1272,network,0,3.88
1273,network,0,1.806
1274,network,0,0.278
1275,network,0,0.645
1276,network,0,0.078
1277,network,0,0.804
1278,network,0,0.601
1279,network,0,1.603
1280,network,0,0.937
1281,network,0,1.019
1282,network,0,1.881
1283,network,0,0.516
1284,network,0,2.898
1285,network,0,0.634
1286,network,0,0.59
1287,network,0,9.083
1288,network,0,1.758
1289,network,0,1.636
1290,network,0,2.797
1291,network,0,0.649
1292,network,0,8.794
1293,network,1,7.295
1294,network,1,1.551
1295,network,0,2.115
1296,network,0,0.688
1297,network,0,0.525
1298,network,0,0.555
1299,network,0,1.609
1300,network,0,2.186
1301,network,0,0.468
1302,network,0,1.314
1303,network,0,0.256
1304,network,1,1.877
1305,network,0,4.298
1306,network,0,0.764
1307,network,0,1.885
1308,network,0,0.16
1309,network,0,0.59
1310,network,0,0.549
1311,network,0,0.173
1312,network,0,3.952
1313,network,0,0.914
1314,network,0,0.953
1315,network,0,0.892
1316,network,0,0.8
1317,network,0,0.7
1318,network,0,3.007
1319,network,0,2.282
1320,network,0,3.089
1321,network,0,0.308
1322,network,0,0.524
1323,network,0,0.712
1324,network,0,0.511
1325,network,0,1.474
1326,network,0,1.348
1327,network,0,0.527
1328,network,0,3.24
1329,network,0,1.65
1330,network,0,1.58
1331,network,0,1.675
1332,network,0,0.628
1333,network,0,1.106
1334,network,0,0.834
1335,network,0,0.842
1336,network,0,1.166
1337,network,0,1.914
1338,network,0,1.733
1339,network,1,4.056
1340,network,0,0.899
1341,network,0,1.117
1342,network,0,0.635
1343,network,0,0.353
1344,network,0,0.602
1345,network,0,0.371
1346,network,0,0.422
1347,network,0,0.599
1348,network,0,0.513
1349,network,0,1.876
1350,network,0,0.312
1351,network,0,0.318
1352,network,0,0.639
1353,network,0,2.595
1354,network,0,0.949
1355,network,0,0.614
1356,network,0,0.929
1357,network,0,0.559
