id,length,azimuth
,1.265,"106"
,0.662,"102"
,1.078,"115"
,0.733,"67"
,1.655,"80"
,1.500,"94"
,0.938,"99"
,0.783,"83"
,1.624,"93"
,1.654,"111"
,1.401,"114"
,1.002,"117"
,0.622,"126"
,0.254,"128"
,0.856,"117"
,0.769,"110"
,1.861,"122"
,1.218,"122"
,1.440,"99"
,0.183,"146"
,0.901,"105"
,0.383,"26"
,0.097,"154"
,1.218,"110"
,1.218,"119"
,0.622,"173"
,0.253,"111"
,0.565,"107"
,0.510,"137"
,0.740,"158"
,1.809,"101"
,0.560,"167"
,0.422,"85"
,2.143,"146"
,0.482,"155"
,0.113,"91"
,0.444,"96"
,2.073,"107"
,0.361,"17"
,0.342,"31"
,0.954,"33"
,0.250,"129"
,1.359,"102"
,1.950,"112"
,0.140,"71"
,0.478,"116"
,1.135,"151"
,2.702,"101"
,3.701,"98"
,0.396,"154"
,0.350,"94"
,0.272,"113"
,0.218,"163"
,0.861,"107"
,0.427,"141"
,0.516,"102"
,1.310,"89"
,0.968,"86"
,0.831,"93"
,0.947,"90"
,0.368,"87"
,1.117,"92"
,0.546,"90"
,0.873,"92"
,0.739,"94"
,0.095,"24"
,0.253,"58"
,0.403,"90"
,0.250,"9"
,0.470,"69"
,0.528,"101"
,0.184,"52"
,0.263,"64"
,0.424,"74"
,0.625,"87"
,0.981,"73"
,0.424,"85"
,0.377,"91"
,0.322,"97"
,0.351,"88"
,0.247,"101"
,1.894,"123"
,1.500,"107"
,2.042,"83"
,0.213,"91"
,0.229,"132"
,0.098,"91"
,0.502,"98"
,1.244,"99"
,1.191,"84"
,0.556,"105"
,0.960,"107"
,0.315,"110"
,0.197,"122"
,0.208,"86"
,0.652,"120"
,0.115,"91"
,0.581,"98"
,4.100,"90"
,0.708,"55"
,1.277,"111"
,0.969,"114"
,0.969,"113"
,1.107,"106"
,0.444,"156"
,0.413,"160"
,1.326,"94"
,0.724,"106"
,0.711,"116"
,0.933,"107"
,1.749,"105"
,0.284,"89"
,0.906,"107"
,0.191,"112"
,0.093,"112"
,2.041,"111"
,0.289,"67"
,0.359,"106"
,0.558,"110"
,1.195,"107"
,0.593,"100"
,0.292,"151"
,0.593,"94"
,0.437,"118"
,1.538,"125"
,0.983,"30"
,0.418,"48"
,2.888,"122"
,3.931,"126"
,0.588,"120"
,1.092,"110"
,4.656,"107"
,1.013,"104"
,3.413,"94"
,1.450,"59"
,0.884,"88"
,0.242,"130"
,0.320,"169"
