geometry,original_line_id,type,censored,f_set,length,id,b_group
"LINESTRING Z (-10.491881030441895 28.73780922128937 0, -10.480849131888322 28.751821832680815 0, -9.804672134184031 29.610695348843898 0)",154,fracture,0,1,1.1109393587289493,,-9999
"LINESTRING Z (-9.804672134184031 29.610695348843898 0, -8.332075882823004 31.481172937683944 0)",155,fracture,0,1,2.3805936507256806,,-9999
"LINESTRING Z (-8.332075882823004 31.481172937683944 0, -8.146624797410688 31.71673112192433 0)",156,fracture,0,1,0.29979953843065477,,-9999
"LINESTRING Z (-8.146624797410688 31.71673112192433 0, -4.260299126613367 36.653104593907315 0)",157,fracture,0,1,6.282619698373888,,-9999
"LINESTRING Z (-4.260299126613367 36.653104593907315 0, -2.907049823315452 38.37198883769967 0)",158,fracture,0,1,2.187657816120679,,-9999
"LINESTRING Z (-2.907049823315452 38.37198883769967 0, -1.116645917542711 40.646142651159685 0)",159,fracture,0,1,2.894360328825875,,-9999
"LINESTRING Z (-1.116645917542711 40.646142651159685 0, 0.6772241221969741 42.92469911463262 0)",160,fracture,0,1,2.899963668170677,,-9999
"LINESTRING Z (0.6772241221969741 42.92469911463262 0, 0.6952853057388257 42.94764025617887 0, 1.2667106652055815 43.673459249395506 0)",161,fracture,0,1,0.9529617640799548,,-9999
"LINESTRING Z (1.2667106652055815 43.673459249395506 0, 1.9691848529435199 44.5657352033021 0)",162,fracture,0,1,1.1356171724476487,,-9999
"LINESTRING Z (1.9691848529435199 44.5657352033021 0, 3.0210787122265743 45.90184066181385 0)",163,fracture,0,1,1.7004877204679543,,-9999
"LINESTRING Z (3.0210787122265743 45.90184066181385 0, 3.300236183302507 46.25642379546111 0)",164,fracture,0,1,0.451284934741479,,-9999
"LINESTRING Z (3.300236183302507 46.25642379546111 0, 4.243673978423391 47.45476940486172 0)",165,fracture,1,1,1.5251580484763791,,-9999
"LINESTRING Z (-61.45767325580381 -40.947213841908564 0, -60.249734383499586 -39.41290150935608 0)",166,fracture,1,1,1.952749511085905,,-9999
"LINESTRING Z (-60.249734383499586 -39.41290150935608 0, -51.64914828150666 -28.48851979929904 0)",167,fracture,1,1,13.903675666701329,,-9999
"LINESTRING Z (-49.095601537479595 -25.245029295813364 0, -48.396985916496305 -24.357654456270566 0)",168,fracture,1,1,1.129379427710401,,-9999
"LINESTRING Z (-48.3410083821471 -24.286552330768107 0, -45.917174998871154 -21.207822489978568 0)",169,fracture,1,1,3.918360078202475,,-9999
"LINESTRING Z (-45.917174998871154 -21.207822489978568 0, -45.53615749578704 -20.723857723793717 0)",170,fracture,0,1,0.6159514855610077,,-9999
"LINESTRING Z (-45.53615749578704 -20.723857723793717 0, -44.619259322155756 -19.559222486239236 0)",171,fracture,0,1,1.482254194584034,,-9999
"LINESTRING Z (-44.619259322155756 -19.559222486239236 0, -44.386111616067204 -19.263080513363064 0)",172,fracture,0,1,0.37690571891833197,,-9999
"LINESTRING Z (-44.386111616067204 -19.263080513363064 0, -41.92437503387254 -16.13620639401973 0)",173,fracture,0,1,3.9796342493167134,,-9999
"LINESTRING Z (-41.92437503387254 -16.13620639401973 0, -38.710837521695225 -12.05440196740311 0)",174,fracture,0,1,5.194992850747517,,-9999
"LINESTRING Z (-38.710837521695225 -12.05440196740311 0, -38.69784719253084 -12.037901776294254 0, -38.68037769491709 -12.01571218852055 0, -38.590899886068044 -11.902058336695266 0)",175,fracture,0,1,0.19389073793527845,,-9999
"LINESTRING Z (-38.590899886068044 -11.902058336695266 0, -31.063510110567933 -2.340840274022887 0)",176,fracture,0,1,12.168750456570146,,-9999
"LINESTRING Z (-31.063510110567933 -2.340840274022887 0, -30.865545499636816 -2.0893875300763645 0, -30.681692279738478 -1.8558589392368268 0)",177,fracture,0,1,0.6172452924325781,,-9999
"LINESTRING Z (-30.681692279738478 -1.8558589392368268 0, -28.760927435128288 0.5838780843734417 0)",178,fracture,0,1,3.1051013401602687,,-9999
"LINESTRING Z (-28.760927435128288 0.5838780843734417 0, -27.899605049949468 1.677921490197825 0)",179,fracture,0,1,1.3924105806255378,,-9999
"LINESTRING Z (-27.899605049949468 1.677921490197825 0, -27.294084960879267 2.4470472808899046 0)",180,fracture,0,1,0.9788815353122665,,-9999
"LINESTRING Z (-27.294084960879267 2.4470472808899046 0, -26.95292207001046 2.8803891021285537 0)",181,fracture,0,1,0.5515226669325495,,-9999
"LINESTRING Z (-26.95292207001046 2.8803891021285537 0, -24.672667093838744 5.7767470317566945 0)",182,fracture,0,1,3.686251756578175,,-9999
