geometry,original_line_id,type,censored,f_set,length,id,Area,b_group
"LINESTRING Z (-25.873880880632445 7.720305959448613 0, -26.00282516095314 7.930795393530224 0)",104,fracture,0,2,0.2468,,,-9999
"LINESTRING Z (-26.00282516095314 7.930795393530224 0, -26.394644522438377 8.570403722462123 0)",105,fracture,0,2,0.7501,,,-9999
"LINESTRING Z (-26.394644522438377 8.570403722462123 0, -26.399288610000095 8.577984759482614 0, -26.399288610000095 8.577984759482614 0, -26.405690750042186 8.588435652155166 0)",106,fracture,1,2,0.0211,,,-9999
"LINESTRING Z (-10.93124694951691 -15.318557952959363 0, -11.066433416506456 -15.09787873507276 0)",107,fracture,1,2,0.2588,,,-9999
"LINESTRING Z (-14.399031054838321 -9.657725909607704 0, -15.81237739473076 -7.350570675537746 0)",108,fracture,1,2,2.7056,,,-9999
"LINESTRING Z (-15.81237739473076 -7.350570675537746 0, -18.114753543389646 -3.59215772872922 0)",109,fracture,0,2,4.4076,,,-9999
"LINESTRING Z (-18.114753543389646 -3.59215772872922 0, -18.85373490080431 -2.3858400283068915 0)",110,fracture,0,2,1.4147,,,-9999
"LINESTRING Z (-18.85373490080431 -2.3858400283068915 0, -18.942802027344765 -2.240446304644635 0)",111,fracture,0,2,0.1705,,,-9999
"LINESTRING Z (-18.942802027344765 -2.240446304644635 0, -19.216988399281306 -1.7928627893597764 0)",112,fracture,0,2,0.5249,,,-9999
"LINESTRING Z (-19.216988399281306 -1.7928627893597764 0, -19.606705439815833 -1.1566863020425113 0, -19.606705439815833 -1.1566863020425113 0, -19.606705439815833 -1.15668630204251 0)",113,fracture,1,2,0.7461,,,-9999
"LINESTRING Z (-19.66191912465998 -1.0665551442470607 0, -20.098106179777098 -0.3545207200990462 0, -20.098106179777098 -0.3545207200990462 0, -20.098106179777098 -0.3545207200990461 0)",114,fracture,1,2,0.835,,,-9999
"LINESTRING Z (-22.023619972314854 2.788699805073484 0, -23.111253616120543 4.564159636276529 0)",115,fracture,1,2,2.0821,,,-9999
"LINESTRING Z (-23.111253616120543 4.564159636276529 0, -24.39407194062386 6.658240137425262 0)",116,fracture,0,2,2.4558,,,-9999
"LINESTRING Z (-24.39407194062386 6.658240137425262 0, -24.743804631794102 7.229145927594286 0)",117,fracture,0,2,0.6695,,,-9999
"LINESTRING Z (-24.743804631794102 7.229145927594286 0, -25.026058910669672 7.689899543651323 0)",118,fracture,0,2,0.5403,,,-9999
"LINESTRING Z (-25.026058910669672 7.689899543651323 0, -25.157999531816976 7.905280222876493 0)",119,fracture,0,2,0.2526,,,-9999
"LINESTRING Z (-25.157999531816976 7.905280222876493 0, -25.638566084134855 8.68976001045887 0)",120,fracture,0,2,0.92,,,-9999
"LINESTRING Z (-25.638566084134855 8.68976001045887 0, -26.284002096121878 9.743373715240129 0)",121,fracture,1,2,1.2356,,,-9999
"LINESTRING Z (-9.338008540142644 -16.565786736500513 0, -10.643383938409672 -14.434883929784975 0)",122,fracture,1,2,2.499,,,-9999
"LINESTRING Z (-13.471410729087307 -9.818395650840886 0, -13.825150377884444 -9.240948878464842 0)",123,fracture,1,2,0.6772,,,-9999
"LINESTRING Z (-13.994738360707563 -8.964112415128119 0, -15.184461676424835 -7.022000777324559 0)",124,fracture,1,2,2.2776,,,-9999
"LINESTRING Z (-15.184461676424835 -7.022000777324559 0, -15.744324174406826 -6.10807780167449 0)",125,fracture,1,2,1.0718,,,-9999
"LINESTRING Z (-15.859070692054761 -5.920764882462572 0, -18.739164920060574 -1.2192813994657659 0)",126,fracture,1,2,5.5135,,,-9999
"LINESTRING Z (-18.739164920060574 -1.2192813994657659 0, -18.886178716200664 -0.9792951769303098 0, -18.886178716200664 -0.9792951769303098 0, -18.886178716200664 -0.9792951769303092 0)",127,fracture,1,2,0.2814,,,-9999
"LINESTRING Z (-19.66618771699078 0.2939963001831882 0, -20.254826133299186 1.2548932614078132 0)",128,fracture,1,2,1.1269,,,-9999
"LINESTRING Z (-20.254826133299186 1.2548932614078132 0, -20.411448270931338 1.5105641995281498 0)",129,fracture,0,2,0.2998,,,-9999
"LINESTRING Z (-20.411448270931338 1.5105641995281498 0, -20.441520258116327 1.5596538958569444 0)",130,fracture,0,2,0.0576,,,-9999
"LINESTRING Z (-20.441520258116327 1.5596538958569444 0, -20.80395076672216 2.1512876810905213 0)",131,fracture,0,2,0.6938,,,-9999
"LINESTRING Z (-20.80395076672216 2.1512876810905213 0, -21.669318251625956 3.5639188712216665 0)",132,fracture,0,2,1.6566,,,-9999
"LINESTRING Z (-21.669318251625956 3.5639188712216665 0, -22.046040786690682 4.178883048107586 0)",133,fracture,0,2,0.7212,,,-9999
"LINESTRING Z (-22.046040786690682 4.178883048107586 0, -22.1427287511514 4.336717074333664 0, -22.1427287511514 4.336717074333664 0, -22.1427287511514 4.336717074333665 0)",134,fracture,1,2,0.1851,,,-9999
"LINESTRING Z (-22.172828902414327 4.38585274587603 0, -22.321476862754977 4.628506588075711 0)",135,fracture,1,2,0.2846,,,-9999
"LINESTRING Z (-22.321476862754977 4.628506588075711 0, -24.10685656707166 7.542971368116809 0)",136,fracture,0,2,3.4178,,,-9999
"LINESTRING Z (-24.10685656707166 7.542971368116809 0, -24.40090324362789 8.02297496647701 0)",137,fracture,0,2,0.5629,,,-9999
"LINESTRING Z (-24.40090324362789 8.02297496647701 0, -24.83566958485578 8.732690208558228 0)",138,fracture,0,2,0.8323,,,-9999
"LINESTRING Z (-24.83566958485578 8.732690208558228 0, -25.004612762124204 9.008474087352525 0)",139,fracture,0,2,0.3234,,,-9999
"LINESTRING Z (-25.004612762124204 9.008474087352525 0, -25.175946531423737 9.288160383241207 0, -25.175946531423737 9.288160383241207 0, -25.20497784774526 9.335551282069472 0)",140,fracture,0,2,0.3836,,,-9999
"LINESTRING Z (-25.20497784774526 9.335551282069472 0, -25.905932097967053 10.479793299469025 0)",141,fracture,1,2,1.3419,,,-9999
"LINESTRING Z (-7.163886026173524 -18.761254295263623 0, -7.360689320540521 -18.43999139043622 0)",142,fracture,1,2,0.3768,,,-9999
"LINESTRING Z (-7.879833253464772 -17.592537650135732 0, -7.879833253464773 -17.592537650135732 0, -7.879833253464773 -17.592537650135732 0, -11.044384244994998 -12.426705201632078 0)",143,fracture,1,2,6.0581,,,-9999
"LINESTRING Z (-13.942634878544638 -7.69558309086232 0, -14.432945516926624 -6.895196997423062 0)",144,fracture,1,2,0.9386,,,-9999
"LINESTRING Z (-15.206539590196485 -5.632377287339905 0, -16.161287101985252 -4.07384159310493 0)",145,fracture,1,2,1.8277,,,-9999
