type;n_type;n_index;n_origin;geometry;og_line_id
node;3;1165;[1];POINT Z (410098.9667163811 5081041.675184208 0);396
node;3;1174;[2 1];POINT Z (410101.8493647982 5081042.501097916 0);398
node;3;1219;[1];POINT Z (410097.93758963206 5081046.623983792 0);414
node;3;1220;[2 1];POINT Z (410097.9894630468 5081046.621390121 0);415
node;3;1224;[2 1];POINT Z (410098.55488472036 5081046.606389008 0);416
node;3;1230;[2 1];POINT Z (410099.2103821347 5081046.576160015 0);417
node;3;1241;[1];POINT Z (410097.5828021348 5081046.704175486 0);420
node;3;1250;[2 1];POINT Z (410109.996024547 5081036.009845941 0);423
node;3;1253;[1];POINT Z (410110.37337743014 5081035.956665864 0);424
node;3;1257;[1];POINT Z (410110.59208205185 5081035.689360215 0);426
node;3;1272;[2 1];POINT Z (410099.18116841186 5081042.987715695 0);434
node;3;1300;[1];POINT Z (410099.8851093018 5081045.073513972 0);444
node;3;1305;[1];POINT Z (410101.1555851358 5081045.019542378 0);445
node;3;1318;[2 1];POINT Z (410106.94761253486 5081045.300213309 0);447
node;3;1322;[1 2];POINT Z (410101.3183985761 5081042.936380852 0);449
node;3;1326;[2 1];POINT Z (410102.07440562465 5081042.682753676 0);450
node;3;1328;[2 1];POINT Z (410102.21493377426 5081042.670016819 0);451
node;3;1329;[2 1];POINT Z (410102.2314903729 5081042.669075212 0);452
node;3;1338;[2 1];POINT Z (410103.2661865679 5081042.473761272 0);453
node;3;1343;[2 1];POINT Z (410103.94139634364 5081042.278267571 0);454
node;3;1350;[2 1];POINT Z (410105.45356670616 5081041.941799903 0);455
node;3;1352;[1];POINT Z (410106.22024696047 5081041.610922535 0);456
node;3;1359;[1 2];POINT Z (410098.35586624336 5081045.187020083 0);460
node;3;1364;[2 1];POINT Z (410098.8992824543 5081045.044450398 0);461
node;3;1367;[1 2];POINT Z (410099.34743479744 5081045.035287115 0);462
node;3;1380;[1 2];POINT Z (410109.5599177391 5081038.854502092 0);466
node;3;1393;[2 1];POINT Z (410114.0278642396 5081040.135627838 0);468
node;3;1404;[1];POINT Z (410115.60289583507 5081039.801642332 0);470
node;3;1405;[2 1];POINT Z (410115.6519758147 5081039.788554338 0);471
node;3;1410;[2 1];POINT Z (410116.3655803088 5081039.6044766875 0);472
node;3;1411;[2 1];POINT Z (410116.3992972711 5081039.5932377 0);473
node;3;1415;[2 1];POINT Z (410116.70759443764 5081039.512458858 0);474
node;3;1427;[1];POINT Z (410114.5567108329 5081039.873908628 0);477
node;3;1436;[2 1];POINT Z (410115.46706144884 5081039.543361051 0);481
node;3;1448;[2 1];POINT Z (410116.3124229356 5081039.998145006 0);484
node;3;1457;[1];POINT Z (410113.61074870126 5081041.443979028 0);487
node;3;1462;[1];POINT Z (410114.4306732167 5081041.367028955 0);488
node;3;1463;[1];POINT Z (410114.5184784451 5081041.368905135 0);489
node;3;1492;[2 1];POINT Z (410129.30924883956 5081044.271694062 0);498
